date,nav,cash,all_cash,trend_signal,vol,prob,close
2015-07-24,1000000.0,1000000.0,,1.0,61.3166869926,0.544625379172,4557.37
2015-07-27,1000000.0,1000000.0,,1.0,47.2840090777,0.527795364343,4519.09
2015-07-28,1000000.0,1000000.0,,1.0,54.5079353341,0.569645908936,4560.23
2015-07-29,1000000.0,1000000.0,,1.0,42.5798134084,0.620630103409,4581.6
2015-07-30,1000000.0,1000000.0,,1.0,56.0514984619,0.628938835514,4598.59
2015-07-31,1000000.0,1000000.0,,0.0,41.9091715287,0.663675378516,4588.91
2015-08-03,1000000.0,1000000.0,,0.0,52.9622420487,0.665970924234,4580.46
2015-08-04,1000000.0,1000000.0,,0.0,42.1004667917,0.714920098517,4567.47
2015-08-05,1000000.0,1000000.0,,0.0,57.1997178342,0.762369880817,4602.24
2015-08-06,1000000.0,1000000.0,,0.0,72.9806252005,0.57704754226,4528.51
2015-08-07,1000000.0,1000000.0,,0.0,48.4157628478,0.559639598528,4520.08
2015-08-10,1000000.0,1000000.0,,0.0,55.5827874343,0.685891638478,4573.11
2015-08-11,1000000.0,1000000.0,,0.0,63.6341744631,0.630936417258,4513.99
2015-08-12,1000000.0,1000000.0,,-1.0,72.1877554941,0.618164740311,4528.19
2015-08-13,1000000.0,1000000.0,,-1.0,45.968394158,0.586284595806,4519.32
2015-08-14,1000000.0,1000000.0,,-1.0,42.0292629693,0.509344980662,4530.74
2015-08-17,1000000.0,1000000.0,,-1.0,54.1300191051,0.590814745796,4566.37
2015-08-18,1000000.0,1000000.0,,-1.0,41.1612475526,0.508095081427,4542.07
2015-08-19,1000000.0,1000000.0,,-1.0,55.8622262267,0.453900417999,4510.9
2015-08-20,1000000.0,1000000.0,,-1.0,81.2349049782,0.324437317669,4385.13
2015-08-21,1000000.0,1000000.0,,-1.0,102.856924666,0.183554014963,4197.27
2015-08-24,1000000.0,1000000.0,,0.0,149.149303768,0.119486779035,4038.6
2015-08-25,1000000.0,1000000.0,,0.0,86.4283897517,0.157606833641,4016.32
2015-08-26,1000000.0,1000000.0,,0.0,89.9874184201,0.354699578052,4219.6
2015-08-27,1000000.0,1000000.0,,0.0,63.6232100148,0.425580677041,4324.82
2015-08-28,1000000.0,1000000.0,,0.0,47.158672001,0.425794914798,4329.12
2015-08-31,986360.63332507003,0.0,True,0.0,52.7172744976,0.390900700429,4274.58
2015-09-01,959728.25213310437,959728.25213310437,True,0.0,62.9541282357,0.281681017739,4142.63
2015-09-02,959728.25213310437,959728.25213310437,True,0.0,64.3537726352,0.43972841383,4256.23
2015-09-03,959728.25213310437,959728.25213310437,True,0.0,55.2099540472,0.421094588956,4234.65
2015-09-04,959728.25213310437,959728.25213310437,True,0.0,54.218343454,0.324861125089,4184.72
2015-09-08,959728.25213310437,959728.25213310437,True,0.0,66.1370078447,0.36728656339,4303.53
2015-09-09,959728.25213310437,959728.25213310437,True,0.0,63.1381546259,0.308179733129,4253.45
2015-09-10,959728.25213310437,959728.25213310437,True,0.0,55.8388576974,0.337970289602,4296.3
2015-09-11,959728.25213310437,959728.25213310437,True,0.0,49.0979183095,0.309421095111,4323.23
2015-09-14,959728.25213310437,959728.25213310437,True,0.0,45.5423113984,0.25287941022,4308.76
2015-09-15,959728.25213310437,959728.25213310437,True,0.0,52.6095461867,0.278230925401,4360.28
2015-09-16,959728.25213310437,959728.25213310437,True,0.0,45.6411032135,0.298622618412,4383.67
2015-09-17,959728.25213310437,959728.25213310437,True,0.0,55.7429939497,0.334160514096,4384.96
2015-09-18,959728.25213310437,959728.25213310437,True,0.0,52.1551462486,0.304493992432,4323.86
2015-09-21,959728.25213310437,959728.25213310437,True,0.0,53.275532232,0.34536543258,4336.13
2015-09-22,959728.25213310437,959728.25213310437,True,0.0,60.7176784714,0.326726610965,4274.1
2015-09-23,959728.25213310437,959728.25213310437,True,0.0,44.8424179091,0.296528060282,4273.53
2015-09-24,959728.25213310437,959728.25213310437,True,0.0,54.4239468073,0.272980720978,4261.1
2015-09-25,959728.25213310437,959728.25213310437,True,0.0,62.5023068415,0.237722662098,4224.74
2015-09-28,959728.25213310437,959728.25213310437,True,0.0,68.0424377865,0.177484863335,4103.47
2015-09-29,959728.25213310437,959728.25213310437,True,0.0,60.3899501926,0.170717529878,4083.37
2015-09-30,959728.25213310437,959728.25213310437,True,0.0,59.1918962086,0.242143419947,4181.06
2015-10-01,959728.25213310437,959728.25213310437,True,0.0,51.2746095105,0.22907746261,4192.96
2015-10-02,959728.25213310437,959728.25213310437,True,0.0,70.3221535811,0.326285001811,4267.45
2015-10-05,959728.25213310437,959728.25213310437,True,0.0,52.7069031631,0.380717912876,4331.43
2015-10-06,959728.25213310437,959728.25213310437,True,0.0,49.4221658986,0.325190765767,4306.7
2015-10-07,959728.25213310437,959728.25213310437,True,0.0,50.6527778639,0.385240810407,4333.46
2015-10-08,959728.25213310437,959728.25213310437,True,0.0,55.3487511004,0.387567700737,4350.15
2015-10-09,959728.25213310437,959728.25213310437,True,0.0,43.9381846577,0.40911720814,4370.01
2015-10-12,959728.25213310437,959728.25213310437,True,0.0,41.1956909095,0.410266888714,4382.56
2015-10-13,959728.25213310437,959728.25213310437,True,0.0,47.403955847,0.36246816415,4352.94
2015-10-14,959728.25213310437,959728.25213310437,True,0.0,45.855606562,0.375039288033,4346.92
2015-10-15,959728.25213310437,959728.25213310437,True,0.0,52.4693198427,0.45271657504,4418.22
2015-10-16,959728.25213310437,959728.25213310437,True,0.0,42.8859955823,0.563901972528,4438.62
2015-10-19,959728.25213310437,959728.25213310437,False,0.0,45.7025655073,0.735012109763,4462.07
2015-10-20,947994.5695726031,5.8207660913467407e-11,False,0.0,44.44959555,0.842493302013,4438.18
2015-10-21,939084.51089632814,5.8207660913467407e-11,False,0.0,48.5063417674,0.842389658493,4413.52
2015-10-22,959416.09334474592,5.8207660913467407e-11,False,0.0,57.5608406356,0.785443113879,4503.22
2015-10-23,998388.43455650262,5.8207660913467407e-11,False,0.0,70.2013024342,0.790269069471,4624.09
2015-10-26,1006947.0493798626,5.8207660913467407e-11,False,0.0,42.8293482734,0.79180063834,4630.85
2015-10-27,1006841.2837875993,5.8207660913467407e-11,False,0.0,41.999584975,0.838878949888,4639.23
2015-10-28,1015170.3346238662,5.8207660913467407e-11,False,0.0,51.9919819974,0.940188347548,4678.58
2015-10-29,1013158.6155927985,5.8207660913467407e-11,False,0.0,41.352387611,0.896829311138,4670.76
2015-10-30,1012597.9359741244,5.8207660913467407e-11,False,0.0,43.108989388,0.897809021088,4648.83
2015-11-02,1020451.2858643665,5.8207660913467407e-11,False,0.0,48.7997536211,0.944139568588,4703.91
2015-11-03,1025752.3081600119,5.8207660913467407e-11,False,0.0,47.3343577002,0.911375522073,4719.05
2015-11-04,1037899.6236104297,5.8207660913467407e-11,False,0.0,44.6316570983,0.937937215902,4717.55
2015-11-05,1045099.7779049736,5.8207660913467407e-11,False,0.0,48.276428924,0.912295390847,4702.9
2015-11-06,1060530.0943836714,5.8207660913467407e-11,False,0.0,46.3472252473,0.899834319131,4707.23
2015-11-09,1048413.8561629103,5.8207660913467407e-11,False,0.0,54.9921252746,0.875464638898,4655.52
2015-11-10,1046531.8060158342,5.8207660913467407e-11,False,0.0,44.8015471722,0.828440820896,4641.73
