date,open,high,low,close,ma5,ma10,ma20,ma50,ma200,ma1000,mva_band,std200,std50,cci,s_pct_k,s_pct_d,stoch,wr,tr1,tr2,tr3,month_change,tr,ztr,vol,fevol,fesignal,drtns,cc_delta,cc_pct,oc_delta,oc_pct,co_delta,co_pct,ret_daily,ret_today,ret_open,rtnvol,cr,mom,atr,3atr,ir,avg_tr,max_ir_window,min_ir_window,max_cplunger,min_cplunger,prob,macd,dx,stochStrength,cciStrength,macd_signal,macd_dur,macd_last_dur,is_churning
2015-06-17,4465.17,4482.27,4441.34,4468.98,4460.012,4460.886,4489.216,,,,,,,-52.8271545718,44.9278118191,41.7330452764,41.7330452764,-47.9812398042,40.93,26.37,14.56,0.0,45.3161738028,,,,False,0.00293543391907,13.08,0.00293543391907,9.27,0.00208038780044,3.81,0.000853270984083,0.00293543391907,0.000853270984083,0.00208038780044,0.00562232090564,-0.0118390006583,-2.10571414492,45.3161738028,135.948521408,,,,,,,,-9.52642981645,-26.7594709119,0,1,-1,4,0,1
2015-06-18,4483.61,4540.69,4483.61,4531.85,4468.688,4465.368,4490.5435,,,,,,,64.5100021907,69.4822545335,55.607649905,55.607649905,-5.96330275229,57.08,71.71,14.63,0.0,48.8353506291,,,,False,0.014068087125,62.87,0.014068087125,14.63,0.00327367766246,48.24,0.0107591873513,0.014068087125,0.0107591873513,0.00327367766246,0.00660859379035,0.00171111298047,0.258922402367,48.8353506291,146.506051887,,,,,,,,-3.60756992537,-8.82500812821,1,1,-1,5,0,1
2015-06-19,4538.71,4539.49,4511.21,4513.42,4480.614,4468.991,4489.741,,,,,,,70.1053038618,75.5432049786,65.5754274418,65.5754274418,-18.3958445764,28.28,7.64,20.64,0.0,46.0946372119,,,,False,-0.00406677184814,-18.43,-0.00406677184814,6.86,0.00151373059567,-25.29,-0.00557206783425,-0.00406677184814,-0.00557206783425,0.00151373059567,0.00654147468493,-0.00768617541459,-1.17499123436,46.0946372119,138.283911636,,,,,,,,-0.95348486654,-8.82500812821,1,1,-1,6,0,1
2015-06-22,4541.85,4557.98,4534.76,4544.04,4502.838,4480.244,4490.585,,,,,,,118.174384616,83.5608853987,74.5681564203,74.5681564203,-8.42143418111,23.22,44.56,21.34,0.0,45.890018917,,,,False,0.00678421241542,30.62,0.00678421241542,28.43,0.00629899278153,2.19,0.00048218237062,0.00678421241542,0.00048218237062,0.00629899278153,0.00675718767597,-0.000444340813804,-0.0657582466421,45.890018917,137.670056751,,,4546.06,4379.75,,,,2.64760064731,-3.4523049161,1,1,1,1,6,0
2015-06-23,4549.52,4551.77,4529.99,4548.74,4521.406,4492.357,4494.374,,,,,,,101.634398557,88.9894078416,81.778782131,81.778782131,-5.58206971546,21.78,7.73,14.05,0.0,42.675349728,,,,False,0.00103432188097,4.7,0.00103432188097,5.48,0.00120597529951,-0.780000000001,-0.000171446658109,0.00103432188097,-0.000171446658109,0.00120597529951,0.00626024576026,0.0109035971161,1.7417202988,42.675349728,128.026049184,0.127082549865,,4548.74,4379.75,,,0.550235979639,4.99328458318,-4.75864383179,1,0,1,2,6,0
2015-06-24,4542.07,4561.64,4523.9,4524.6,4532.53,4496.271,4493.301,,,,,,,85.8706667639,83.5484305004,82.6636063157,82.6636063157,-21.8925468408,37.74,12.9,24.84,0.0,42.0173030976,,,,False,-0.00530696412633,-24.14,-0.00530696412633,-6.67,-0.00146634012935,-17.47,-0.00384626392812,-0.00530696412633,-0.00384626392812,-0.00146634012935,0.00542167108048,-0.00841099255789,-1.55136533239,42.0173030976,126.051909293,0.0651961376434,,4548.74,4379.75,,,0.525824555124,4.57726037308,-1.6925424089,1,-1,1,3,6,0
2015-06-25,4540.4,4546.15,4508.66,4514.01,4528.962,4498.825,4492.2185,,,,,,,60.928313942,77.6983242401,80.1809652779,80.1809652779,-28.1517820202,37.49,21.55,15.94,0.0,41.4136626846,,,,False,-0.00234053839013,-10.59,-0.00234053839013,15.8,0.00349202139416,-26.39,-0.00581226323672,-0.00234053839013,-0.00581226323672,0.00349202139416,0.00542273585777,-0.00846351135302,-1.56074564113,41.4136626846,124.240988054,0.137409151116,,4548.74,4379.75,,,0.554292818095,3.30635651924,-6.25498416775,0,-1,1,4,6,0
2015-06-26,4514.37,4523.97,4469.23,4484.28,4523.134,4501.874,4491.02,,,,,,,2.41150110025,65.9872908511,73.0841280645,73.0841280645,-45.723742538,54.74,9.96,44.78,0.0,43.19050766,,,,False,-0.00658616174975,-29.73,-0.00658616174975,0.36,7.97517063541e-05,-30.09,-0.00666538188053,-0.00658616174975,-0.00666538188053,7.97517063542e-05,0.00545703069546,-0.00900512910715,-1.65018846506,43.19050766,129.57152298,0.347293454749,,4548.74,4379.75,,,0.63488094213,0.337247605789,-16.9892358575,-1,-1,1,5,6,0
2015-06-29,4433.11,4460.08,4377.23,4379.86,4490.298,4496.568,4483.9205,,,,,,,-148.29253818,33.7067303992,53.3954292319,53.3954292319,-98.5738300526,82.85,24.2,107.05,0.0,51.7051066387,,,,False,-0.023285789469,-104.42,-0.023285789469,-51.17,-0.011410973445,-53.25,-0.0120118833054,-0.023285789469,-0.0120118833054,-0.011410973445,0.00583408913793,-0.0220662041237,-3.78228779198,51.7051066387,155.115319916,-0.405772887576,,4548.74,4379.75,,,0.343563598173,-8.30792770992,-35.536610952,-1,-1,-1,1,5,0
2015-06-30,4414.86,4420.5,4381.94,4396.76,4459.902,4490.654,4478.314,,,,,,,-137.244460324,22.148631183,37.7720302074,37.7720302074,-89.4094680332,38.56,40.64,2.08,0.0,50.2297590868,,,,False,0.0038585708219,16.9,0.0038585708219,35.0,0.00799112300393,-18.1,-0.00409979025382,0.0038585708219,-0.00409979025382,0.00799112300393,0.0059370716584,-0.0154710350205,-2.60583599301,50.2297590868,150.689277261,-0.345605823698,,4548.74,4379.75,,,0.365748148242,-12.2962626852,-35.536610952,-1,0,-1,2,5,0
